name,pca_x,pca_y
167.jpg,24.715834,0.01223431
71.jpg,33.127533,5.4061074
798.jpg,-1.7048839,-30.49549
749.jpg,6.000447,-5.273751
328.jpg,-16.182373,-5.010754
1008.jpg,8.602316,33.807465
616.jpg,5.8447056,-22.385399
277.jpg,-12.584576,10.875051
973.jpg,7.97447,36.82586
501.jpg,-3.1302373,-20.40884
160.jpg,21.892405,-12.22173
76.jpg,2.6783617,-8.560206
459.jpg,-1.606435,-31.87606
488.jpg,30.06916,6.7388663
425.jpg,-23.295135,-4.9759674
857.jpg,-0.88028383,35.039505
382.jpg,-13.011879,-2.2099464
732.jpg,-0.5960788,-14.853497
886.jpg,-8.073901,39.29493
353.jpg,22.660141,2.5651395
155.jpg,27.985321,5.8650208
946.jpg,-9.327162,39.911118
534.jpg,-10.847776,-4.3478527
293.jpg,-6.992078,12.222749
997.jpg,0.86090374,16.782804
242.jpg,25.88221,8.938874
184.jpg,20.281942,-9.765488
623.jpg,-0.25197056,3.1235728
92.jpg,-23.224781,8.154999
43.jpg,28.935469,6.228388
129.jpg,20.474573,-5.483861
548.jpg,12.781985,-20.78511
599.jpg,-12.695378,-17.363785
3.jpg,23.166735,4.823312
366.jpg,-1.7898825,-16.151855
707.jpg,-4.441191,-6.540083
410.jpg,11.27418,-9.911745
862.jpg,6.924878,34.21329
689.jpg,10.205911,-22.186714
239.jpg,6.444299,-18.57363
4.jpg,23.679613,-12.078264
658.jpg,-21.385899,-5.461071
361.jpg,-19.850924,7.1932726
700.jpg,-13.626982,-29.480219
865.jpg,0.664501,34.212173
417.jpg,13.41888,-13.179862
38.jpg,-13.258886,-8.23921
152.jpg,40.073196,8.629211
294.jpg,-10.659609,-11.605218
533.jpg,14.197971,-1.5724456
941.jpg,-5.354337,38.389
245.jpg,21.793621,-10.9825325
990.jpg,-1.206155,20.879484
624.jpg,-3.1714869,-21.753878
183.jpg,27.895197,2.8414605
95.jpg,-18.752598,-8.5504875
819.jpg,1.9091052,33.59033
44.jpg,35.109238,5.782744
120.jpg,20.376907,-8.261748
687.jpg,-6.912323,-25.401442
541.jpg,-12.81691,3.7131455
933.jpg,27.194155,6.253393
590.jpg,-0.40204486,-14.056327
237.jpg,11.676287,-12.333351
656.jpg,-7.723989,-4.579314
36.jpg,-8.196466,9.373593
419.jpg,9.204689,-10.155807
313.jpg,-13.752962,-15.507026
772.jpg,29.67812,5.203189
817.jpg,6.6137867,31.686575
465.jpg,-12.060621,11.087294
948.jpg,-3.6892889,38.650917
999.jpg,8.303066,31.978962
314.jpg,2.284297,4.1355753
775.jpg,23.801844,-0.0802902
462.jpg,-5.6202884,-10.524048
810.jpg,5.82214,34.258816
680.jpg,37.166737,6.9952297
127.jpg,-24.95148,-21.779064
934.jpg,6.5502133,19.393143
546.jpg,-25.136587,-21.78384
230.jpg,25.697142,5.3074374
597.jpg,-16.831903,-14.892657
651.jpg,26.091671,3.7108328
368.jpg,0.069640994,-9.960286
709.jpg,8.95302,-7.217545
31.jpg,-12.610583,-8.463554
201.jpg,7.395007,-15.061976
660.jpg,5.363629,-12.460763
116.jpg,-13.840603,5.605679
905.jpg,4.5904856,37.510242
577.jpg,25.728868,-0.02893166
388.jpg,-13.00272,-6.9230127
359.jpg,-20.041985,-0.53234166
738.jpg,33.92764,6.125264
979.jpg,-8.728412,39.37306
795.jpg,16.9082,-23.013042
453.jpg,-17.674316,-0.024297036
821.jpg,-7.496456,37.635868
482.jpg,-14.850073,-12.143634
325.jpg,37.823265,8.209727
1005.jpg,5.901356,34.933956
744.jpg,41.066135,9.022216
792.jpg,-23.57052,-15.026421
826.jpg,6.67794,36.066887
454.jpg,-3.8528328,-11.572291
322.jpg,38.120193,9.521443
485.jpg,21.482283,-11.653446
1002.jpg,9.955103,34.71929
743.jpg,39.075867,7.116154
206.jpg,-1.7037578,-28.711876
667.jpg,-3.434416,-6.26439
111.jpg,18.676292,-5.748466
570.jpg,-7.6248574,-12.207241
902.jpg,0.27158168,32.91653
428.jpg,-21.305595,6.594751
274.jpg,-12.684967,-12.53371
615.jpg,-3.9422786,-9.26649
163.jpg,33.60377,6.606
502.jpg,-12.504809,-11.523929
970.jpg,4.393732,29.21195
828.jpg,9.586959,28.776949
75.jpg,-8.788596,14.508777
208.jpg,21.146223,-5.138642
669.jpg,-13.249899,-13.678052
854.jpg,4.475038,33.920963
426.jpg,-16.775461,-23.241856
381.jpg,-8.733594,-14.160068
885.jpg,3.4648414,28.086338
350.jpg,-16.64268,10.444057
731.jpg,19.295578,0.7775388
118.jpg,1.4939239,-17.13609
579.jpg,28.783522,4.419339
386.jpg,-4.0983515,-20.636532
421.jpg,-24.268402,-21.605453
853.jpg,-0.84522045,37.207
357.jpg,-13.12415,-29.269503
882.jpg,5.466802,33.54128
736.jpg,28.304937,5.385133
273.jpg,18.77154,-11.460753
612.jpg,-4.0974755,1.1357937
164.jpg,-16.725443,-7.9357133
977.jpg,10.08287,37.22699
505.jpg,-14.041407,-28.045185
72.jpg,26.819502,9.245665
7.jpg,-8.03823,11.436919
703.jpg,30.333616,8.618937
362.jpg,-20.67582,-0.5663946
414.jpg,-5.5984273,-11.032962
866.jpg,5.0959487,35.558247
297.jpg,-20.05587,-19.352087
942.jpg,-1.817041,30.87877
530.jpg,22.845179,-12.705641
151.jpg,21.693857,0.10209156
627.jpg,-3.4745421,-1.3722128
180.jpg,-11.212454,5.983206
246.jpg,-18.425982,-4.6348443
993.jpg,-8.710317,41.39429
96.jpg,3.9220326,-8.395653
47.jpg,40.807903,7.9729233
468.jpg,-19.906391,-0.51628506
537.jpg,-11.3660755,-6.7560515
945.jpg,-2.9502795,34.34691
290.jpg,1.9697438,3.979509
156.jpg,16.819542,4.9113693
187.jpg,-5.4004483,10.759858
620.jpg,-5.8811846,1.7062612
994.jpg,1.6251063,21.060946
241.jpg,-7.789002,14.010741
778.jpg,13.119463,-22.691042
91.jpg,2.9268425,-6.546115
319.jpg,-6.3446503,12.271668
40.jpg,-16.242826,-21.819546
939.jpg,9.998699,25.535261
0.jpg,19.682945,-7.505803
704.jpg,-21.296732,6.8526115
365.jpg,-5.403885,-20.40074
861.jpg,8.476793,21.88274
413.jpg,-22.799967,-14.543212
539.jpg,10.471049,-9.703101
158.jpg,4.7964935,-20.452177
189.jpg,25.239334,-0.63873315
776.jpg,-22.472637,7.2484035
317.jpg,-7.3812494,-1.7603185
